"scrape_datetime","website_url","title","rank","brand","type","type_2","tonnage","star_rating","selling_price","review count","review_rating"
"2026-03-09 10:23:37","https://www.amazon.in/Daikin-Inverter-Copper-Apataito-ATKL50UV16VAF/dp/B0G7GXMB2Z/ref=zg_bs_g_3474656031_d_sccl_1/524-5907212-3413961","Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5, Apataito Filter, ATKL50UV16VAF, White)","1","Daikin","Inverter","Split","1.5","3","","39","4.3"
"2026-03-09 10:23:37","https://www.amazon.in/Godrej-Comprehensive-AC1-5T-18P3T-WZT/dp/B0DR327PJK/ref=zg_bs_g_3474656031_d_sccl_2/524-5907212-3413961","Godrej 1.5 Ton 3 Star, 5 Years Comprehensive Warranty, AI Powered, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, 2025 Model, Heavy duty cooling at 52 °C, AC1.5T EI 18P3T WZT 3S, White)","2","Godrej","Inverter","Split","1.5","3","3328490","1501","3.7"
"2026-03-09 10:23:37","https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q19YNZE3/dp/B0G58WMC69/ref=zg_bs_g_3474656031_d_sccl_3/524-5907212-3413961","LG 1.5 Ton 5 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Faster Cooling & Energy Saving, 4 Way Swing, HD Filter with Anti-Virus Protection, US-Q19YNZE3, White)","3","LG","Inverter","Split","1.5","5","4841290","3518",""
"2026-03-09 10:23:37","https://www.amazon.in/Carrier-Flexicool-Inverter-Convertible-CAI19EE5R35W0/dp/B0DSXJFF5H/ref=zg_bs_g_3474656031_d_sccl_4/524-5907212-3413961","Carrier 1.5 Ton 5 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Smart Energy Display,HD & PM 2.5 Filter, ESTER EDGE FXi (Wi-Fi), CAI19EE5R35W0,White)","4","Carrier","Inverter","Split","1.5","5","","2863","4.3"
"2026-03-09 10:23:37","https://www.amazon.in/Hitachi-Xpandable-Inverter-3400SXL-RAS-D318PCCIBS/dp/B0DQTBQV3C/ref=zg_bs_g_3474656031_d_sccl_5/524-5907212-3413961","Hitachi 1.5 Ton 3 Star Xpandable+ Inverter Split AC (100% Copper, 4-Way Swing, ice Clean, Dust Filter, 3400SXL RAS.D318PCCIBS, White)","5","Hitachi","Inverter","Split","1.5","3","4832999","1578","4.2"
"2026-03-09 10:23:37","https://www.amazon.in/Carrier-Flexicool-Convertible-Geo-Fencing-WiFi-CAI18EE3R36W0/dp/B0GCDZCJ7K/ref=zg_bs_g_3474656031_d_sccl_6/524-5907212-3413961","Carrier 1.5 Ton 3 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 with Wi-Fi with Geo-Fencing, Smart Energy Display, New BEE rated, ESTER EDGE Gxi WiFi-CAI18EE3R36W0, White)","6","Carrier","Inverter","Split","1.5","3","4934990","3954","4.2"
"2026-03-09 10:23:37","https://www.amazon.in/Panasonic-DustBuster-Convertible-CS-CU-NU18BKY5WX/dp/B0GHR4W2DR/ref=zg_bs_g_3474656031_d_sccl_7/524-5907212-3413961","Panasonic 1.5 Ton 5 Star Premium Wi-Fi Inverter Smart Split AC (Matter/MirAIe, AI, DustBuster, 55oC Oper., Copper Condenser, 8in1 Convertible, 4-Way, PM0.1 Filter, CS/CU-NU18BKY5WX, 2026 Model, White)","7","Panasonic","Inverter","Split","1.5","5","2944990","",""
"2026-03-09 10:23:37","https://www.amazon.in/Blue-Star-Warranty-Convertible-IE518ZNURS/dp/B0FT8HVP1D/ref=zg_bs_g_3474656031_d_sccl_8/524-5907212-3413961","Blue Star 1.5 Ton 5 Star, 60 Months Warranty, Wi-Fi Smart Inverter Split AC (Copper, Convertible 5 in 1 Cooling, AI Pro, DigiQ Hepta Sensors, 4 Way Swing, IE518ZNURS, White)","8","Blue","Inverter","Split","1.5","5","45409904099000100","23","3.8"
"2026-03-09 10:23:37","https://www.amazon.in/Voltas-Inverter-Copper-Adjustable-Anti-dust/dp/B0CWVDXYX1/ref=zg_bs_g_3474656031_d_sccl_9/524-5907212-3413961","Voltas 183V Vectra CAW 1.5 ton 3 star inverter Split AC|4-IN-1 Adjustable mode|Energy Efficient|High ambient Cooling-cools even at 52°C|Anti dust filter with Anti-microbial coating|Copper Coil| White","9","Voltas","Inverter","Split","1.5","3","5130990","4178","3.9"
"2026-03-09 10:23:37","https://www.amazon.in/Daikin-Inverter-Copper-Apataito-ATKM50UV16VA/dp/B0GCKCSDKM/ref=zg_bs_g_3474656031_d_sccl_10/524-5907212-3413961","Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 1.0, Apataito Filter, ATKM50UV16VA, White)","10","Daikin","Inverter","Split","1.5","5","3142490","3609","4.1"
